Source,Target,Weight,Type
AVAL , AVAR         ,5,chemical
AVAL , AVAR         ,5,electrical
AVAR , AVAL         ,5,chemical
AVAR , AVAL         ,5,electrical
AVBL , AVBR         ,5,chemical
AVBL , AVBR         ,5,electrical
AVBR , AVBL         ,5,chemical
AVBR , AVBL         ,5,electrical
AVAL, DA1, 1, electrical
AVAR, DA1, 1, electrical
AVAL, VA1, 1, electrical
AVAR, VA1, 1, electrical
AVBL, DB1, 1, electrical
AVBR, DB1, 1, electrical
AVBL, VB1, 1, electrical
AVBR, VB1, 1, electrical
AVBL, VB2, 1, electrical
AVBR, VB2, 1, electrical
AS1, DA1, 1, chemical
AS1, VD1, 1, chemical
DA1, DB1, 1, chemical
DA1, VD2, 1, chemical
DA1, VD1, 1, chemical
DA1, VA1, 1, electrical
DB1, AS1, 1, chemical
DB1, AS2, 1, chemical
DB1, VD1, 1, chemical
DB1, VD2, 1, chemical
VD1, VD2, 1, electrical
VD1, VB1, 1, chemical
VD1, VA1, 1, electrical
VD1, VA1, 1, chemical
VB1, VB2, 1, electrical
VA1, DA1, 1, electrical
VA1, VD1, 1, electrical
VA1, VD1, 1, chemical
AS2, DA2, 1, chemical
AS2, VD2, 1, chemical
DA2, DB1, 1, chemical
DA2, VA2, 1, electrical
DA2, VD2, 1, chemical
DA2, VD1, 1, chemical
VD2, VA2, 1, chemical
VD2, VA2, 1, electrical
VD2, VB2, 1, chemical
VD2, VD1, 1, electrical
VB2, VB1, 1, electrical
VA2, DA2, 1, electrical
VA2, VD2, 1, electrical
VA2, VD2, 1, chemical


